PARK,ZIP,ACRES,WARD
WASHINGTON (GEORGE),60637.0,350.49,0
NICHOLS (JOHN FOUNTAIN),60615.0,11.47,4
SAUGANASH,60646.0,4.65,39
AUSTIN FOSTER,60630.0,4.97,45
VOGLE (HENRY JR.),60625.0,0.3,47
THUIS (GRACE ZWIEFKA),60630.0,0.9,45
RAVENSWOOD MANOR,60625.0,0.83,33
"BENIAC (JOHN ""BEANS"") GREENWAY",60617.0,7.68,10
COOPER (JACK),60643.0,4.6,34
RENAISSANCE,60620.0,1.28,0
JACOLIK (FLORIAN S.),60608.0,0.39,11
PARK NO. 512,60614.0,3.46,32
SUMAC,60653.0,0.81,4
JUNIPER,60613.0,0.37,44
SHABBONA,60634.0,18.7,38
SENIOR CITIZENS MEML.,60647.0,1.1,32
HOLSTEIN,60647.0,3.28,32
MAPLE,60647.0,0.17,26
FLOWER (LUCY),60647.0,0.37,1
PARK NO. 399,60622.0,0.17,1
PULASKI (CASIMER),60622.0,4.18,2
SENECA,60611.0,1.01,2
SINTIC (GREGORY),60616.0,0.2,11
BOGAN (WILLIAM),60652.0,14.06,18
COLUMBUS (CHRISTOPHER),60644.0,140.73,29
ALTGELD (JOHN),60612.0,4.32,28
PARK NO. 500,60624.0,1.33,24
DALEY (RICHARD J.),60608.0,2.67,25
GRANT (ULYSSES),60605.0,295.45,0
PROSPECT GARDENS,60643.0,3.68,19
PARK NO. 546,60611.0,5.83,42
JONES (MARY RICHARDSON),60616.0,1.3,3
WASHTENAW,60608.0,1.02,24
WILLIAMS (DANIEL HALE),60616.0,6.75,2
PIOTROWSKI (LILLIAN),60623.0,23.93,22
ELLIS (SAMUEL),60653.0,9.86,4
CATALPA,60632.0,0.49,14
CURIE (MARIE),60632.0,9.03,14
EMERALD,60621.0,0.24,20
HERMITAGE,60636.0,4.36,15
BOSWELL (ARNITA YOUNG),60637.0,0.33,5
CHESTNUT,60637.0,0.5,5
HAMILTON (ALEXANDER),60621.0,28.94,6
ASHE (ARTHUR) BEACH,60649.0,2.34,7
RUSSELL (MARTIN) SQUARE,60617.0,10.05,10
BURNSIDE (AMBROSE),60619.0,5.72,8
